City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Gunjur,GM,75.27,scattered clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
236,Chuy,UY,53.37,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
237,Manaure,CO,82.56,light rain,11.7751,-72.4445,Hotel Palaaima
240,Terney,RU,67.57,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
241,Axim,GH,74.53,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
243,Yungay,PE,59.9,light rain,-9.1383,-77.7436,Hotel Rima Rima Yungay Peru
244,Xixiang,CN,88.48,clear sky,35.1628,112.865,Hongchang Rest House
245,Kargil,IN,54.16,clear sky,34.5667,76.1,Hotel Caravan Sarai Kargil
246,Narrabri,AU,67.51,few clouds,-30.3167,149.7833,Crossroads Hotel
247,Bow Island,CA,66.52,scattered clouds,49.8668,-111.3684,Silver Sage Motel
248,Abu Samrah,SY,67.98,clear sky,35.3029,37.1841, 
249,Hami,CN,80.11,clear sky,42.8,93.45,Laoyutang Resort
250,Dingle,PH,82.83,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
251,Katsuura,JP,77.13,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
252,Campbell River,CA,61.45,broken clouds,50.0163,-125.2446,Anchor Inn & Suites
253,Birin,NP,71.92,scattered clouds,26.8865,88.0718,Sangam Hospitality
255,Sulangan,PH,81.79,light rain,11.1373,123.7228,Maia's Beach Resort
256,Harper,LR,74.84,moderate rain,4.375,-7.7169,Screensaver
257,Golden Gate,US,78.98,moderate rain,26.1879,-81.6951,Quality Inn & Suites Golf Resort
258,Dodge City,US,67.93,clear sky,37.7528,-100.0171,Windsor Inn & Suites
260,Ketchikan,US,57.9,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
261,Khartoum,SD,89.98,few clouds,15.5518,32.5324,Hotel China
262,Coahuayana,MX,77.61,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
263,Sungaipenuh,ID,77.41,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
265,Mwinilunga,ZM,65.64,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
266,San Isidro,PE,60.01,broken clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
267,Deder,ET,62.06,clear sky,9.3167,41.45,Ayube Hotel
268,Horta,PT,68.79,few clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
269,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
270,Hargeysa,SO,75.88,clear sky,9.56,44.065,City Center Hotel
271,Tessalit,ML,86.94,broken clouds,20.1986,1.0114, 
272,Palmer,US,55.51,few clouds,42.1584,-72.3287,Wedgewood Motel
273,Tripoli,LY,77.05,light rain,32.8752,13.1875,Al Waddan Hotel
275,Esperance,AU,68.99,clear sky,-33.8667,121.9,Hospitality Esperance
276,America Dourada,BR,64.65,clear sky,-11.4553,-41.4361,Cantinho das araras
278,Manakara,MG,68.45,light rain,-22.1333,48.0167,La Residence Manakara
279,Manggar,ID,85.26,broken clouds,-2.8833,108.2667,Guest Hotel
280,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le four à pain
281,Siswa Bazar,IN,84.36,overcast clouds,27.15,83.7667,Rajesh
282,Loikaw,MM,82.6,broken clouds,19.6742,97.2094,Myat Nan Taw Hotel
285,Gravelbourg,CA,63.77,clear sky,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
286,Yeovil,GB,52.43,overcast clouds,50.9416,-2.6321,The Globe & Crown
289,Gusau,NG,73.45,overcast clouds,12.1628,6.6614,GUEST INN
290,Bethel,US,56.48,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
