City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Baherden,TM,38.4362,57.4316,76.26,21,0,13.13,clear sky
133,Talnakh,RU,69.4865,88.3972,25.47,63,69,4.18,broken clouds
134,Valley City,US,46.9233,-98.0032,39.72,65,0,0.0,clear sky
135,Sola,VU,-13.8833,167.55,80.76,76,14,13.49,few clouds
136,Berbera,SO,10.4396,45.0143,90.82,55,20,4.79,few clouds
137,Tchibanga,GA,-2.85,11.0333,70.32,94,100,2.04,overcast clouds
138,Saint George,US,37.1041,-113.5841,80.94,37,0,9.22,clear sky
139,Natal,BR,-5.795,-35.2094,70.45,94,20,4.61,few clouds
140,Upernavik,GL,72.7868,-56.1549,32.29,99,100,4.76,snow
141,Pevek,RU,69.7008,170.3133,28.83,72,95,8.61,overcast clouds
142,Beloha,MG,-25.1667,45.05,74.86,54,4,18.84,clear sky
143,Belogorsk,RU,50.9158,128.4611,52.12,41,16,12.46,few clouds
144,Conway,US,35.0887,-92.4421,63.79,65,75,0.0,broken clouds
145,Hithadhoo,MV,-0.6,73.0833,76.68,87,100,18.03,light rain
146,San Quintin,MX,30.4833,-115.95,72.01,83,5,7.87,clear sky
147,Dumas,US,35.8656,-101.9732,69.94,32,0,10.36,clear sky
148,Burns Lake,CA,54.2331,-125.7533,53.76,72,60,2.71,broken clouds
149,Norman Wells,CA,65.282,-126.8329,39.54,78,74,12.59,broken clouds
150,Smithers,CA,54.7804,-127.1743,54.3,87,70,2.13,broken clouds
151,Beni Mazar,EG,28.4962,30.8029,79.56,48,0,8.88,clear sky
152,Codrington,AU,-38.2667,141.9667,53.49,76,100,13.65,overcast clouds
153,Oum Hadjer,TD,13.2954,19.6966,76.01,67,100,3.09,overcast clouds
154,Kjollefjord,NO,70.9457,27.3465,46.22,81,75,11.5,broken clouds
155,Dikson,RU,73.5069,80.5464,32.83,79,87,7.45,overcast clouds
156,Leshukonskoye,RU,64.8989,45.7622,33.42,68,5,6.82,clear sky
157,Do Gonbadan,IR,30.3586,50.7981,84.63,13,0,1.03,clear sky
158,San Andres,CO,12.5847,-81.7006,82.42,83,75,3.33,broken clouds
159,Bengkulu,ID,-3.8004,102.2655,81.39,74,51,3.04,broken clouds
160,Souillac,MU,-20.5167,57.5167,73.78,56,75,8.05,broken clouds
161,Saint-Pierre,RE,-21.3393,55.4781,73.08,64,100,13.8,overcast clouds
162,Kabare,CD,-2.4683,28.8242,64.06,81,99,2.08,overcast clouds
163,Zhatay,RU,62.1594,129.8294,33.85,80,75,13.42,broken clouds
164,Inhambane,MZ,-23.865,35.3833,74.89,71,2,11.52,clear sky
165,Portland,US,45.5234,-122.6762,68.05,73,57,4.0,broken clouds
166,Barinas,VE,8.6226,-70.2075,73.44,100,100,9.22,overcast clouds
167,Nome,US,64.5011,-165.4064,41.16,90,99,8.08,overcast clouds
168,Joshimath,IN,30.5667,79.5667,72.54,63,33,6.26,scattered clouds
169,Khatanga,RU,71.9667,102.5,24.98,85,98,5.84,overcast clouds
170,Sitka,US,57.0531,-135.33,53.49,87,100,0.0,overcast clouds
171,Da Lat,VN,11.9465,108.4419,63.7,94,100,6.26,overcast clouds
172,Sakakah,SA,29.9697,40.2064,80.15,20,0,4.03,clear sky
173,Touros,BR,-5.1989,-35.4608,72.86,77,1,13.89,clear sky
174,Nicoya,CR,10.1483,-85.452,74.61,93,100,0.54,overcast clouds
175,Ponta Do Sol,PT,32.6667,-17.1,70.43,71,89,6.06,overcast clouds
176,Waddan,LY,29.1614,16.139,82.35,25,2,2.04,clear sky
177,Campo Grande,BR,-20.4428,-54.6464,63.95,100,75,17.27,thunderstorm with rain
178,Half Moon Bay,US,37.4636,-122.4286,63.1,86,40,14.97,scattered clouds
179,Hastings,GB,50.8552,0.5729,46.29,89,9,10.27,clear sky
180,Awbari,LY,26.5921,12.7805,82.0,24,0,10.45,clear sky
181,Santa Maria,BR,-29.6842,-53.8069,54.28,90,1,7.25,clear sky
182,Juan Aldama,MX,24.2908,-103.3944,58.87,80,71,3.76,broken clouds
183,Huangnihe,CN,43.5583,128.0239,73.65,42,20,10.69,few clouds
184,Havelock,US,34.8791,-76.9013,68.94,87,100,6.4,overcast clouds
185,Mikhaylovskoye,RU,51.8239,79.7172,39.79,75,95,14.2,overcast clouds
186,Port Elizabeth,ZA,-33.918,25.5701,64.69,97,100,5.75,light intensity drizzle
187,Padang,ID,-0.9492,100.3543,75.25,73,87,5.59,overcast clouds
188,Angoche,MZ,-16.2325,39.9086,78.26,67,0,6.64,clear sky
